ID,X,Y,Layer,Direction
399,525,750,0,0
400,476,850,0,0
401,477,850,0,0
402,478,850,0,0
403,479,850,0,0
404,480,850,0,0
405,481,850,0,0
406,482,850,0,0
407,483,850,0,0
408,484,850,0,0
409,485,850,0,0
410,486,850,0,0
411,487,850,0,0
412,488,850,0,0
413,489,850,0,0
414,490,850,0,0
415,491,850,0,0
416,492,850,0,0
417,493,850,0,0
418,494,850,0,0
419,495,850,0,0
420,496,850,0,0
421,497,850,0,0
422,498,850,0,0
423,499,850,0,0
424,500,850,0,0
425,501,850,0,0
426,502,850,0,0
427,503,850,0,0
428,504,850,0,0
429,505,850,0,0
430,506,850,0,0
431,507,850,0,0
432,508,850,0,0
433,509,850,0,0
434,510,850,0,0
435,511,850,0,0
436,512,850,0,0
437,513,850,0,0
438,514,850,0,0
439,515,850,0,0
440,516,850,0,0
441,517,850,0,0
442,518,850,0,0
443,519,850,0,0
444,520,850,0,0
445,521,850,0,0
446,522,850,0,0
447,523,850,0,0
448,524,850,0,0
449,525,850,0,0
450,476,950,0,0
451,477,950,0,0
452,478,950,0,0
453,479,950,0,0
454,480,950,0,0
455,481,950,0,0
456,482,950,0,0
457,483,950,0,0
458,484,950,0,0
459,485,950,0,0
460,486,950,0,0
461,487,950,0,0
462,488,950,0,0
463,489,950,0,0
464,490,950,0,0
465,491,950,0,0
466,492,950,0,0
467,493,950,0,0
468,494,950,0,0
469,495,950,0,0
470,496,950,0,0
471,497,950,0,0
472,498,950,0,0
473,499,950,0,0
474,500,950,0,0
475,501,950,0,0
476,502,950,0,0
477,503,950,0,0
478,504,950,0,0
479,505,950,0,0
480,506,950,0,0
481,507,950,0,0
482,508,950,0,0
483,509,950,0,0
484,510,950,0,0
485,511,950,0,0
486,512,950,0,0
487,513,950,0,0
488,514,950,0,0
489,515,950,0,0
490,516,950,0,0
491,517,950,0,0
492,518,950,0,0
493,519,950,0,0
494,520,950,0,0
495,521,950,0,0
496,522,950,0,0
497,523,950,0,0
498,524,950,0,0
499,525,950,0,0
